NestID,Structure Type,Structure ID,Maximum Width,Notes
A_ashmeadi40,Chamber,C1,10,
A_ashmeadi42,Chamber,C1,2.71,
A_ashmeadi42,Chamber,C2,2.8,
A_ashmeadi43,Chamber,C1,5.65,
A_ashmeadi43,Chamber,C2,1.76,
A_ashmeadi44,Chamber,C1,5.92,
A_ashmeadi45,Chamber,C1,10.33,
A_ashmeadi45,Chamber,C2,3.58,
A_ashmeadi46,Chamber,C1,6.83,
A_ashmeadi46,Chamber,C2,3.75,
A_ashmeadi46,Chamber,C3,3.78,
A_ashmeadi47,Chamber,C1,2.36,
A_ashmeadi47,Chamber,C2,3.32,
A_ashmeadi48,Chamber,C1,2.43,
A_ashmeadi48,Chamber,C2,2.98,
A_ashmeadi48,Chamber,C3,3.65,
A_ashmeadi48,Chamber,C4,7.67,
A_ashmeadi48,Chamber,C5,6.79,
A_ashmeadi50,Chamber,C1,2.67,
A_ashmeadi50,Chamber,C2,4.98,
A_ashmeadi50,Chamber,C3,2.61,
A_ashmeadi51,Chamber,C1,4.63,
A_ashmeadi51,Chamber,C2,6.04,
A_ashmeadi51,Chamber,C3,6.37,
A_ashmeadi52,Chamber,C1,2.79,
A_ashmeadi52,Chamber,C2,2.03,
A_balzani_T1,Chamber,C1,12,
A_balzani_T1,Chamber,C2,12,
A_balzani_T1,Chamber,C3,12,
A_balzani_T1,Chamber,C4,7.8,
A_balzani_T1,Chamber,C5,7.8,
A_balzani_T1,Chamber,C6,7.8,
A_balzani_T1,Chamber,C7,7.8,
A_balzani_T1,Chamber,C8,9,
A_balzani_T1,Chamber,C9,9,
A_balzani_T1,Chamber,C10,9,
A_balzani_T1,Chamber,C11,8,
A_balzani_T1,Chamber,C12,11,
A_balzani_T2,Chamber,C1,9,
A_balzani_T2,Chamber,C2,13,
A_balzani_T2,Chamber,C3,7,
A_balzani_T2,Chamber,C4,8,
A_balzani_T2,Chamber,C5,9,
A_balzani_T2,Chamber,C6,9,
A_balzani_T2,Chamber,C7,9,
A_balzani_T2,Chamber,C8,9,
A_balzani_T3,Chamber,C1,9.3,
A_balzani_T3,Chamber,C2,9.3,
A_balzani_T3,Chamber,C3,9.3,
A_balzani_T3,Chamber,C4,9.3,
A_balzani_T3,Chamber,C5,9.3,
A_balzani_T3,Chamber,C6,9.3,
A_balzani_T3,Chamber,C7,7.5,
A_balzani_T3,Chamber,C8,7.5,
A_balzani_T3,Chamber,C9,7.5,
A_balzani_T3,Chamber,C10,10.5,
A_balzani_T3,Chamber,C11,10.5,
A_balzani_T3,Chamber,C12,10.5,
A_balzani_T3,Chamber,C13,10.5,
A_balzani_T3,Chamber,C14,8,
A_balzani_T4,Chamber,C1,10,
A_balzani_T4,Chamber,C2,10,
A_balzani_T5,Chamber,C1,6,
A_balzani_T5,Chamber,C2,9,
A_balzani_T5,Chamber,C3,10,
A_balzani_T5,Chamber,C4,10,
A_balzani_T5,Chamber,C5,10,
A_balzani_T5,Chamber,C6,12,
A_balzani_T6,Chamber,C1,10,
A_balzani_T6,Chamber,C2,10,
A_balzani_T6,Chamber,C3,10,
A_balzani_T6,Chamber,C4,11.7,
A_balzani_T6,Chamber,C5,11.7,
A_balzani_T6,Chamber,C6,11.7,
