Species Name,Specimen Name,Link to image,Head width at eyes,Max head width (if different),Mandible Width,Link to image,Head length,Weber's length
Acromyrmex balzani,CASENT0173790,https://www.antweb.org/bigPicture.do?name=casent0173790&shot=h&number=1,1.97,2.13,1.34,https://www.antweb.org/bigPicture.do?name=casent0173790&shot=p&number=1,2.04,2.4
Acromyrmex balzani,ECOFOG-OI1-0188-04,https://www.antweb.org/bigPicture.do?name=ecofog-oi17-0188-04&shot=h&number=1,1.54,1.68,1.12,https://www.antweb.org/bigPicture.do?code=ecofog-oi17-0188-04&shot=p&number=1&project=allantwebants,1.33,1.81
Acromyrmex balzani,CASENT0905006,https://www.antweb.org/bigPicture.do?name=casent0905006&shot=h&number=1,2.27,2.52,1.45,https://www.antweb.org/bigPicture.do?code=casent0905006&shot=p&number=1&project=allantwebants,2.03,2.62
Acromyrmex landolti,CASENT0281785,https://www.antweb.org/bigPicture.do?name=casent0281785&shot=h&number=1,2.36,2.53,1.47,https://www.antweb.org/bigPicture.do?name=casent0905006&shot=h&number=1,,3.067
Acromyrmex landolti,CASENT0909435,https://www.antweb.org/bigPicture.do?name=casent0909435&shot=h&number=1,1.5,1.59,1.09,https://www.antweb.org/bigPicture.do?name=casent0281785&shot=p&number=1,,2.089
Acromyrmex landolti,CASENT0912480,https://www.antweb.org/bigPicture.do?name=casent0912480&shot=h&number=1,2.2,2.43,1.45,https://www.antweb.org/bigPicture.do?name=casent0909435&shot=p&number=1,,2.528
Acromyrmex landolti,CASENT0912481,https://www.antweb.org/bigPicture.do?name=casent0912481&shot=h&number=1,1.45,1.57,0.98,https://www.antweb.org/bigPicture.do?name=casent0912480&shot=p&number=1,,1.847
Acromyrmex landolti,CASENT0922025,https://www.antweb.org/bigPicture.do?name=casent0922025&shot=h&number=1,1.85,1.99,1.17,https://www.antweb.org/bigPicture.do?name=casent0912481&shot=p&number=1,,2.272
Acromyrmex landolti,USNMENT01124201,https://www.antweb.org/bigPicture.do?name=usnment01124201&shot=h&number=1,1.01,1.11,0.64,https://www.antweb.org/bigPicture.do?name=casent0922025&shot=p&number=1,,2.393
Aphaenogaster treatae,CASENT0900414,https://www.antweb.org/bigPicture.do?code=casent0900414&shot=h&number=1&project=allantwebants,1.06,,0.74,https://www.antweb.org/bigPicture.do?name=usnment01124201&shot=p&number=1,1.18,1.96
Aphaenogaster treatae,CASENT0103609,https://www.antweb.org/bigPicture.do?code=casent0103609&shot=h&number=1&project=allantwebants,1.02,,0.65,https://www.antweb.org/bigPicture.do?code=casent0103609&shot=p&number=1&project=allantwebants,1.09,1.8
Aphaenogaster treatae,CASENT105544,https://www.antweb.org/bigPicture.do?code=casent0105544&shot=h&number=1&project=allantwebants,1.21,,0.81,https://www.antweb.org/bigPicture.do?code=casent0105544&shot=p&number=1&project=allantwebants,1.44,2.15
Aphaenogaster treatae,CASENT907701,https://www.antweb.org/bigPicture.do?code=casent0907701&shot=h&number=1&project=allantwebants,1.03,,0.75,https://www.antweb.org/bigPicture.do?code=casent0907701&shot=p&number=1&project=allantwebants,1.22,2.54
Aphaenogaster treatae,CASENT0914485,https://www.antweb.org/bigPicture.do?code=casent0914485&shot=h&number=1&project=allantwebants,1.19,,0.83,https://www.antweb.org/bigPicture.do?code=casent0914485&shot=p&number=1&project=allantwebants,1.44,2.22
Aphaenogaster treatae,CASENT0923377,https://www.antweb.org/bigPicture.do?code=casent0923377&shot=h&number=1&project=allantwebants,0.98,,0.63,https://www.antweb.org/bigPicture.do?code=casent0923377&shot=p&number=1&project=allantwebants,1.23,1.76
Aphaenogaster floridana,CASENT0103583,https://www.antweb.org/bigPicture.do?code=casent0103583&shot=h&number=1&project=allantwebants,1.1,,0.73,https://www.antweb.org/bigPicture.do?code=casent0103583&shot=p&number=1&project=allantwebants,1.42,2.2
Aphaenogaster floridana,CASENT0103584,https://www.antweb.org/bigPicture.do?code=casent0103584&shot=h&number=1&project=allantwebants,1.54,,1.04,https://www.antweb.org/bigPicture.do?code=casent0103584&shot=p&number=1&project=allantwebants,1.71,2.88
Aphaenogaster ashmeadi,CASENT0103560,https://www.antweb.org/bigPicture.do?code=casent0103560&shot=h&number=1&project=allantwebants,1.06,,0.72,https://www.antweb.org/bigPicture.do?code=casent0103560&shot=p&number=1&project=allantwebants,1.49,2.14
Aphaenogaster ashmeadi,CASENT0103563,https://www.antweb.org/bigPicture.do?code=casent0103563&shot=h&number=1&project=allantwebants,1.12,,0.75,https://www.antweb.org/bigPicture.do?code=casent0103563&shot=p&number=1&project=allantwebants,1.54,2.23
Aphaenogaster ashmeadi,CASENT0281182,https://www.antweb.org/bigPicture.do?code=casent0281182&shot=h&number=1&project=allantwebants,1.04,,0.74,https://www.antweb.org/bigPicture.do?code=casent0281182&shot=p&number=1&project=allantwebants,1.38,2.05
Camponotus socius,CASENT0103711,https://www.antweb.org/bigPicture.do?code=casent0103711&shot=h&number=1&project=allantwebants,2.59,3.11,1.68,https://www.antweb.org/bigPicture.do?code=casent0103711&shot=p&number=1&project=allantwebants,2.99,4.32
Camponotus socius,CASENT0103712,https://www.antweb.org/bigPicture.do?code=casent0103712&shot=h&number=1&project=allantwebants,1.64,1.74,1.26,https://www.antweb.org/bigPicture.do?code=casent0103712&shot=p&number=1&project=allantwebants,2.32,4.58
Diacamma indicum,CASENT0260416,https://www.antweb.org/bigPicture.do?code=casent0260416&shot=h&number=1&project=allantwebants,1.85,,1.38,https://www.antweb.org/bigPicture.do?code=casent0260416&shot=p&number=1&project=allantwebants,2.22,4.28
Diacamma indicum,CASENT0907227,https://www.antweb.org/bigPicture.do?code=casent0907227&shot=h&number=1&project=allantwebants,1.65,,1.19,https://www.antweb.org/bigPicture.do?code=casent0907227&shot=p&number=1&project=allantwebants,2.02,3.59
Diacamma indicum,CASENT0907228,https://www.antweb.org/bigPicture.do?code=casent0907228&shot=h&number=1&project=allantwebants,1.64,,1.21,https://www.antweb.org/bigPicture.do?code=casent0907228&shot=p&number=1&project=allantwebants,2.01,3.83
Diacamma indicum,CASENT0907229,https://www.antweb.org/bigPicture.do?code=casent0907229&shot=h&number=1&project=allantwebants,1.44,,1.11,https://www.antweb.org/bigPicture.do?code=casent0907229&shot=p&number=1&project=allantwebants,2.17,3.96
Dorymyrmex bureni,CASENT0103863,https://www.antweb.org/bigPicture.do?code=casent0103863&shot=h&number=1&project=allantwebants,0.72,,0.51,https://www.antweb.org/bigPicture.do?code=casent0103863&shot=p&number=1&project=allantwebants,0.83,1.33
Dorymyrmex bureni,CASENT0249670,https://www.antweb.org/bigPicture.do?code=casent0249670&shot=h&number=1&project=allantwebants,0.59,0.7,0.42,https://www.antweb.org/bigPicture.do?code=casent0249670&shot=p&number=1&project=allantwebants,0.9,1.14
Dorymyrmex bureni,CASENT0281176,https://www.antweb.org/bigPicture.do?code=casent0281176&shot=h&number=1&project=allantwebants,0.73,0.85,0.48,https://www.antweb.org/bigPicture.do?code=casent0281176&shot=p&number=1&project=allantwebants,1.1,1.49
Dorymyrmex bureni,FMNHINS0000062862,https://www.antweb.org/bigPicture.do?code=fmnhins0000062862&shot=h&number=1&project=allantwebants,0.79,,0.55,https://www.antweb.org/bigPicture.do?code=fmnhins0000062862&shot=p&number=1&project=allantwebants,0.87,1.44
Dinoponera australis,ANTWEB1014003,https://www.antweb.org/bigPicture.do?code=antweb1014003&shot=h&number=1&project=allantwebants,4.4,4.83,3.85,https://www.antweb.org/bigPicture.do?code=antweb1014003&shot=p&number=1&project=allantwebants,5,7
Dinoponera australis,CASENT0173381,https://www.antweb.org/bigPicture.do?code=casent0173381&shot=h&number=1&project=allantwebants,4.52,,3.53,https://www.antweb.org/bigPicture.do?code=casent0173381&shot=p&number=1&project=allantwebants,5.15,9.77
Dinoponera australis,DZUP549812,https://www.antweb.org/bigPicture.do?code=dzup549812&shot=h&number=1&project=allantwebants,4.54,,3.84,https://www.antweb.org/bigPicture.do?code=dzup549812&shot=p&number=1&project=allantwebants,4.65,6.89
Dinoponera quadriceps,CASENT0217519,https://www.antweb.org/bigPicture.do?code=casent0217519&shot=h&number=1&project=allantwebants,5.56,,4.49,https://www.antweb.org/bigPicture.do?code=casent0217519&shot=p&number=1&project=allantwebants,5.5,7.81
Dinoponera quadriceps,DZUP549811,https://www.antweb.org/bigPicture.do?code=dzup549811&shot=h&number=1&project=allantwebants,5.14,,4.12,https://www.antweb.org/bigPicture.do?code=dzup549811&shot=p&number=1&project=allantwebants,5.26,7.77
Dinoponera quadriceps,FMNHIN0000050367,https://www.antweb.org/bigPicture.do?code=fmnhins0000050367&shot=h&number=1&project=allantwebants,4.78,5.31,5.43,https://www.antweb.org/bigPicture.do?code=fmnhins0000050367&shot=p&number=1&project=allantwebants,5.21,8.15
Ectatomma brunneum,ANTWEB1041399,https://www.antweb.org/bigPicture.do?code=antweb1041399&shot=h&number=1&project=allantwebants,2.19,,1.51,https://www.antweb.org/bigPicture.do?code=antweb1041399&shot=p&number=1&project=allantwebants,2.14,3.39
Ectatomma brunneum,CASENT0173375,https://www.antweb.org/bigPicture.do?code=casent0173375&shot=h&number=1&project=allantwebants,2.02,,1.39,https://www.antweb.org/bigPicture.do?code=casent0173375&shot=p&number=1&project=allantwebants,2.1,3.49
