Nest ID,Species,# Files,File Name(s),Networked?,Entrance Chamber Width?,# Entrances?,Tunnel Lengths?,Nest Depth? (m)
A_balzani1,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,1,n,0.46
A_balzani2,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,2,n,0.78
A_balzani3,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,n/a,n/a,,n,n/a
A_balzani4,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,1,n,0.495
A_balzani5,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,1,n,0.41
A_balzani6,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,8,n,0.96
A_balzani7,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,1,n,0.47
A_balzani_T1,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,4,n/a,0.71
A_balzani_T2,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,3,n/a,1.6
A_balzani_T3,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,5,n/a,1.6
A_balzani_T4,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,1,n/a,0.25
A_balzani_T5,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,3,n/a,0.56
A_balzani_T6,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,1,n/a,0.61
A_balzani_T7,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,2,n/a,0.54
A_balzani_T8,Acromyrmex balzani,1,acromyrmex-balzani_table-and-photos_caldato2016,y,y,8,n/a,1.5
A_landolti_T1,Acromyrmex landolti,1,acromyrmex-landolti_table_verza2020,n/a,ask,1,n/a,0.4
A_landolti_T2,Acromyrmex landolti,1,acromyrmex-landolti_table_verza2020,n/a,ask,1,n/a,1.2
A_landolti_T3,Acromyrmex landolti,1,acromyrmex-landolti_table_verza2020,n/a,ask,1,n/a,0.56
A_landolti_T4,Acromyrmex landolti,1,acromyrmex-landolti_table_verza2020,n/a,ask,2,n/a,0.65
